Training Media,Test Media,Perplexity
The Ben Shapiro Show,The Ben Shapiro Show,511.6250356303748
The Ben Shapiro Show,Secular Talk,512.6852374611734
The Ben Shapiro Show,Chapo Trap House,515.0165878735186
The Ben Shapiro Show,Pod Save America,503.7760085244718
The Ben Shapiro Show,The NPR Politics Podcast,506.2773911427357
The Ben Shapiro Show,Destiny,513.2461041669783
Pod Save America,Pod Save America,503.4832620798488
Pod Save America,The Ben Shapiro Show,510.02824713548245
Pod Save America,The Majority Report with Sam Seder,506.528748872957
Pod Save America,The Alex Jones Show,502.00000000000244
Pod Save America,The David Pakman Show,503.06015822717524
Pod Save America,The Daily,501.99999999999136
Louder with Crowder,Louder with Crowder,526.5781040429313
Louder with Crowder,The Jimmy Dore Show,506.232721477794
Louder with Crowder,Political Gabfest,501.99999999999875
Louder with Crowder,Chapo Trap House,512.9529354645492
Louder with Crowder,The Ben Shapiro Show,510.10330686619915
Louder with Crowder,Human Rights Watch,510.4118408038052
Real Time with Bill Maher,Real Time with Bill Maher,505.5415968000059
Real Time with Bill Maher,The Majority Report with Sam Seder,506.1199670561215
Real Time with Bill Maher,The Jimmy Dore Show,505.81523996054045
Real Time with Bill Maher,The Rubin Report,504.8150739402294
Real Time with Bill Maher,The Daily,501.99999999999136
Real Time with Bill Maher,Human Rights Watch,509.57909056614596
The Majority Report with Sam Seder,The Majority Report with Sam Seder,507.3467692814176
The Majority Report with Sam Seder,Last Week Tonight with John Oliver,515.390371990334
The Majority Report with Sam Seder,The Alex Jones Show,502.00000000000244
The Majority Report with Sam Seder,The Joe Rogan Experience,511.0509687183965
The Majority Report with Sam Seder,Human Rights Watch,511.84588670184763
The Majority Report with Sam Seder,The Rubin Report,505.65191809056154
The Rubin Report,The Rubin Report,505.43742164917074
The Rubin Report,The Alex Jones Show,502.00000000000244
The Rubin Report,Human Rights Watch,511.2642697366583
The Rubin Report,Last Week Tonight with John Oliver,514.5968115587677
The Rubin Report,The Jimmy Dore Show,506.6597196152737
The Rubin Report,Chapo Trap House,514.0658990212296
Chapo Trap House,Chapo Trap House,513.4465742077392
Chapo Trap House,The Jimmy Dore Show,506.42218005442305
Chapo Trap House,Real Time with Bill Maher,506.1048285213532
Chapo Trap House,hbomberguy,511.85091835712865
Chapo Trap House,Contrapoints,504.2164717494864
Chapo Trap House,Pod Save America,503.5638588170636
Jordan B Peterson,Jordan B Peterson,503.31001674257703
Jordan B Peterson,Political Gabfest,501.99999999999875
Jordan B Peterson,The Joe Rogan Experience,509.50291884248145
Jordan B Peterson,The Majority Report with Sam Seder,506.43502405851666
Jordan B Peterson,Chapo Trap House,512.6252645344491
Jordan B Peterson,The Alex Jones Show,502.00000000000244
Destiny,Destiny,512.3011215445115
Destiny,Louder with Crowder,528.7816961550545
Destiny,The Jimmy Dore Show,506.60420407486043
Destiny,Jordan B Peterson,503.4681552255623
Destiny,Human Rights Watch,511.1534026320334
Destiny,Contrapoints,504.30749845786914
Secular Talk,Secular Talk,512.0905324934423
Secular Talk,Political Gabfest,501.99999999999875
Secular Talk,Louder with Crowder,529.6239328215479
Secular Talk,The Joe Rogan Experience,510.6747327321388
Secular Talk,The Jimmy Dore Show,506.745851688222
Secular Talk,The Majority Report with Sam Seder,507.12528347510795
Contrapoints,Contrapoints,503.4399501513439
Contrapoints,The Rubin Report,504.1186720508464
Contrapoints,Louder with Crowder,518.5634636917296
Contrapoints,The David Pakman Show,502.7264262876457
Contrapoints,Destiny,508.4092048460007
Contrapoints,Human Rights Watch,507.6975218804074
The David Pakman Show,The David Pakman Show,503.07257351477745
The David Pakman Show,Real Time with Bill Maher,505.93848948119324
The David Pakman Show,Secular Talk,511.01620908813686
The David Pakman Show,The Rubin Report,505.13029625461877
The David Pakman Show,Pod Save America,503.50063963223
The David Pakman Show,Human Rights Watch,510.4322066224287
H3 Podcast,H3 Podcast,504.94643385624124
H3 Podcast,Human Rights Watch,510.0666262376814
H3 Podcast,Democracy Now!,520.2960547538896
H3 Podcast,The Daily,501.99999999999136
H3 Podcast,The Joe Rogan Experience,509.4163977552825
H3 Podcast,Louder with Crowder,525.5543267032085
The Joe Rogan Experience,The Joe Rogan Experience,507.453437743425
The Joe Rogan Experience,Political Gabfest,501.99999999999875
The Joe Rogan Experience,The David Pakman Show,502.75598732826904
The Joe Rogan Experience,The Ben Shapiro Show,507.71354906055143
The Joe Rogan Experience,Louder with Crowder,519.2484301372212
The Joe Rogan Experience,Secular Talk,508.34023241512534
Democracy Now!,Democracy Now!,525.4980375490653
Democracy Now!,Destiny,513.6284126098307
Democracy Now!,Secular Talk,513.0482749005126
Democracy Now!,Jordan B Peterson,503.6554833958497
Democracy Now!,Contrapoints,504.6021984326768
Democracy Now!,The NPR Politics Podcast,506.42177877389986
The Jimmy Dore Show,The Jimmy Dore Show,506.9943009801972
The Jimmy Dore Show,The Rubin Report,505.6839197076111
The Jimmy Dore Show,Jordan B Peterson,503.59212881845633
The Jimmy Dore Show,Democracy Now!,524.580310206295
The Jimmy Dore Show,Chapo Trap House,514.939009878447
The Jimmy Dore Show,hbomberguy,513.1330606878729
Last Week Tonight with John Oliver,Last Week Tonight with John Oliver,511.4916785972704
Last Week Tonight with John Oliver,Political Gabfest,501.99999999999875
Last Week Tonight with John Oliver,The Alex Jones Show,502.00000000000244
